link,title
https://www.dlsu.edu.ph/colleges/rvrcob/academic-departments/commercial-law,"Department of Commercial Law - De La Salle University"
https://www.dlsu.edu.ph/campuses,"Campuses - De La Salle University"
https://www.dlsu.edu.ph/laguna-campus,"laguna-campus - De La Salle University"
https://www.dlsu.edu.ph/campuses/manila,"Manila Campus - De La Salle University"
https://www.dlsu.edu.ph/campuses/makati,"Makati (RCBC) Campus - De La Salle University"
https://www.dlsu.edu.ph/campuses/rufino,"Rufino (BGC) Campus - De La Salle University"
https://www.dlsu.edu.ph/admissions/undergraduate/degree-programs,"Degree Programs - De La Salle University"
https://www.dlsu.edu.ph/admissions/graduate/degree-programs,"Graduate Degree Programs - De La Salle University"
https://www.dlsu.edu.ph/offices/registrar/academic-calendar,"Academic Calendar - De La Salle University"
https://www.dlsu.edu.ph/admissions/graduate/graduate-viewbooks,"Graduate Viewbooks - De La Salle University"
https://www.dlsu.edu.ph/offices/registrar,"Registrar - De La Salle University"
https://www.dlsu.edu.ph/faculty,"Faculty - De La Salle University"
https://www.dlsu.edu.ph/offices/hub/cav-ched-requests,"CAV CHED requests - De La Salle University"
https://www.dlsu.edu.ph/research,"Research - De La Salle University"
https://www.dlsu.edu.ph/research/research-centers,"Research Centers - De La Salle University"
https://www.dlsu.edu.ph/conferences,"Conferences - De La Salle University"
https://www.dlsu.edu.ph/soll,"School of Lifelong Learning (SoLL) - De La Salle University"
https://www.dlsu.edu.ph/research/research-centers/lider,"Lasallian Institute for Development and Educational Research - De La Salle University"
https://www.dlsu.edu.ph/shs-research-congress/%20,"4th DLSU SHS RESEARCH CONGRESS - De La Salle University"
https://www.dlsu.edu.ph/research/research-centers/ibeht,"Evelyn D. Ang - Institute of Biomedical Engineering and Health Technologies (EDA-IBEHT) - De La Salle University"
https://www.dlsu.edu.ph/offices/hub,"Enrollment Services Hub - De La Salle University"
https://www.dlsu.edu.ph/research/research-centers/yuchengco-center,"Yuchengco Center - De La Salle University"
https://www.dlsu.edu.ph/research/research-centers/cesdr,"Center for Engineering and Sustainable Development Research - De La Salle University"
https://www.dlsu.edu.ph/research/research-centers/bnscwc,"Bienvenido N. Santos Creative Writing Center - De La Salle University"
https://www.dlsu.edu.ph/research/research-centers/cbrd,"CENTER FOR BUSINESS RESEARCH AND DEVELOPMENT - De La Salle University"
https://www.dlsu.edu.ph/research/research-centers/adric,"Advanced Research Institute for Informatics, Computing, and Networking (AdRIC) - De La Salle University"
https://www.dlsu.edu.ph/research/research-centers/shore,"SHORE - De La Salle University"
https://www.dlsu.edu.ph/research/research-centers/censer,"College of Science Center for Natural Sciences and Environmental Research - De La Salle University"
https://www.dlsu.edu.ph/research/research-centers/southeast-asia-research-center-and-hub,"Southeast Asia Research Center and Hub - De La Salle University"
https://www.dlsu.edu.ph/research/research-centers/tala,"TALa - De La Salle University"
https://www.dlsu.edu.ph/offices/registrar/document_request,"Request for Documents - De La Salle University"
https://www.dlsu.edu.ph/research/research-centers/sdrc,"Social Development Reseach Center - De La Salle University"
https://www.dlsu.edu.ph/research/abstracts,"Research Abstracts - De La Salle University"
https://www.dlsu.edu.ph/research/offices/urco,"RESEARCH AND GRANTS MANAGEMENT OFFICE - De La Salle University"
https://www.dlsu.edu.ph/research/publishing-house,"De La Salle University Publishing House - De La Salle University"
https://www.dlsu.edu.ph/research/offices/dipo,"DIPO - Home - De La Salle University"
https://www.dlsu.edu.ph/research/offices/dito,"DLSU Innovation and Technology Office (DITO) - De La Salle University"
https://www.dlsu.edu.ph/research-1/centers/shore/coenomap,"SHORE"
https://www.dlsu.edu.ph/research/offices/reo,"Research Ethics Office - De La Salle University"
https://www.dlsu.edu.ph/research/publications,"Research Publications - De La Salle University"
https://www.dlsu.edu.ph/students,"Students - De La Salle University"
https://www.dlsu.edu.ph/library,"The Libraries - De La Salle University-Manila"
https://www.dlsu.edu.ph/students/international,"International Students - De La Salle University"
https://www.dlsu.edu.ph/students/cso,"Council of Student Organizations - De La Salle University"
https://www.dlsu.edu.ph/students/services,"Student Services - De La Salle University"
https://www.dlsu.edu.ph/offices/ovperi,"OVPERI - De La Salle University"
https://www.dlsu.edu.ph/research/research-manual,"Research Manuals - De La Salle University"
https://www.dlsu.edu.ph/offices/osa,"Office of Student Affairs - De La Salle University"
https://www.dlsu.edu.ph/dlsu-offers-groundbreaking-philosophy-and-ai-program,"DLSU offers groundbreaking Philosophy and AI program - De La Salle University"
https://www.dlsu.edu.ph/offices/ovperi/sep,"Student Exchange Program - De La Salle University"
https://www.dlsu.edu.ph/dlsu-improves-standing-in-global-sustainability-rankings,"DLSU improves standing in global sustainability rankings - De La Salle University"
https://www.dlsu.edu.ph/dlsu-is-phls-healthiest-university-for-third-straight-year,"DLSU is PHL’s healthiest university for third straight year - De La Salle University"
https://www.dlsu.edu.ph/dlsu-profs-given-highest-recognition-by-intl-ergonomics-body,"DLSU profs given highest recognition by int’l ergonomics body - De La Salle University"
https://www.dlsu.edu.ph/admissions/scholarships/grants/st-mutien-marie-scholarship-grant-graduate,"St. Mutien Marie Scholarship Grant (Graduate) - De La Salle University"
https://www.dlsu.edu.ph/offices/ovperi/international-short-courses,"International Short Courses - De La Salle University"
https://www.dlsu.edu.ph/gcoe-students-sweep-awards-at-the-86th-piche-student-congress,"GCOE students sweep awards at the 86th PIChE Student Congress - De La Salle University"
https://www.dlsu.edu.ph/research/journals,"Journals - De La Salle University"
https://www.dlsu.edu.ph/history-professor-receives-papal-award,"History professor receives Papal Award - De La Salle University"
https://www.dlsu.edu.ph/whats-a-more-sustainable-way-to-combat-cacao-pests,"What’s a more sustainable way to combat cacao pests? - De La Salle University"
https://www.dlsu.edu.ph/lasallians-receive-recognition-at-the-international-conference-in-engineering-education-2025,"Lasallians receive recognition at the International Conference in Engineering Education 2025 - De La Salle University"
https://www.dlsu.edu.ph/dlsu-city-of-manila-strengthen-partnership-on-localizing-un-sdgs,"DLSU, City of Manila strengthen partnership on localizing UN SDGs - De La Salle University"
https://www.dlsu.edu.ph/campus-map,"Campus Map - De La Salle University"
https://www.dlsu.edu.ph/give,"Give - De La Salle University"
https://www.dlsu.edu.ph/abet-reaccredits-seven-engineering-programs,"ABET reaccredits seven Engineering programs - De La Salle University"
https://www.dlsu.edu.ph/dlsu-prof-first-filipino-to-receive-yale-emerging-climate-leaders-fellowship,"DLSU prof, first Filipino to receive Yale Emerging Climate Leaders Fellowship - De La Salle University"
https://www.dlsu.edu.ph/la-salle-cebu-pacific-ink-moa-on-design-engineering-program,"La Salle, Cebu Pacific ink MOA on Design Engineering Program - De La Salle University"
